No,Tgl_Iklan,url,harga,kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi,
1,28/12/2016,https://www.rumah123.com/properti/bandar-lampung/hos2295817/,3500000000,Lampung,220,216,4,3,1,1,2,1,4400,SHM,RUMAH MEWAH DI PERUMAHAN KOTA BANDAR LAMPUNG,"PERUM CITRA GARDEN CLUSTER VERSAILES TYPE CORSICA
LT : 216 M2
LB : 220 M2
LISTRIK : 4400 WATT
2 LANTAI
4 KT 3 KM
1 KTP 1 KMP
SUMUR BOR
FULL FURNISH
SHM",
2,18/9/2018,https://www.rumah123.com/properti/bandar-lampung/hos3795856/,1500000000,Lampung,380,200,3,4,2,0,0,0,1300,SHM,Rumah asri di Way Halim Sepang Jaya siap huni,"dijual cepat rumah di way halim sepang Jaya
Lt/LB: 380 /200 m2
1 1/2 lantai
3+2 kamar mandi
4 kamar mandi
listrik 1300 W
air sumur bor
lantai keramik
lingkungan aman dan nyaman untuk tempat tinggal
lokasi strategis dekat mall, sekolah sekolah, pasar tradisional
sertipikat hak milik

Harga Rp. 1,5 M
Nego tipis

Hub Rama Global Property Lampung
788544
0812 72 888 157
0823 7960 7456",
3,20/9/2018,https://www.rumah123.com/properti/bandar-lampung/hos3802925/,1900000000,Lampung,160,155,3,3,1,1,1,1,2200,SHM,Rumah Minimalis 2 lantai di Perumahan Citra Garden Bandar Lampung,"Luas Tanah:160
Luas Bangunan: 155
Kamar Tidur: 3+1
Kamar mandi: 3+1
Garasi
Carport
Listrik 2200 watt
SHM

Harga Rp 1,9 Milyar net",
4,21/9/2018,https://www.rumah123.com/properti/bandar-lampung/hos3806158/,2350000000,Lampung,160,189,3,2,1,1,0,0,2200,SHM,"RUMAH NYAMAN PERUM CITRA GARDEN , TELUK BETUNG - BANDAR LAMPUNG","LT / LB : 160 m2 / 189 m2
2 Lantai
2.200 Watt
3 + 1 KT 2 +1 KM
Hadap Selatan
SHM",
5,23/10/2018,https://www.rumah123.com/properti/bandar-lampung/hos3918892/,1400000000,Lampung,1036,243,5,3,0,0,0,2,1300,SHM,"RUMAH HALAMAN LUAS JLN. PULAU TIODORE , JAGABAYA - BANDAR LAMPUNG","LT : 1036 M2 
LB : 243 M2 
1 LANTAI
5 KMAR TIDUR 
3 KAMAR MANDI 
SUMUR GALI   SANYO 
GARASI 2 MOBIL 
HALAMAN LUAS 
SERTIFIKAT HAK MILIK 
HADAP TIMUR",
6,21/12/2018,https://www.rumah123.com/properti/bandar-lampung/hos4115584/,2000000000,Lampung,186,300,6,5,0,0,0,0,6600,SHM,Rumah 2 lantai siap huni di Teluk Betung,"dijual cepat rumah 2 lantai di teluk betung
LT/LB: 186/300 m2
2 lantai
6 kamar tidur
5 kamar mandi
listrik 6600 W
air pam
lantai keramik
sertipikat hak milik

Harga Rp. 2 M
nego

Hub Rama Global Property Lampung
788544
0812 72 888 157
0823 7960 7456",
7,27/3/2019,https://www.rumah123.com/properti/bandar-lampung/hos4419179/,1200000000,Lampung,339,200,2,2,2,2,0,0,2200,SHM,Rumah di Gajah Mada,"Dijual cepat Rumah di Gajah Mada
LT/LB: 339/200 M2
2 +2 Kamar tidur
2+2 Kamar mandi
listrik 2200 W Ada 2 meteran
Air sumur Gali + Pam Dan sumur bor
lantai keramik
sertipikat hak milik

Harga Rp. 1, 2 M
nego

Hub Rama Global Property Lampung
788544
0812 72 888 157
0823 7960 7456",
8,18/10/2019,https://www.rumah123.com/properti/bandar-lampung/hos5466841/,700000000,Lampung,230,190,4,3,1,0,0,0,2200,SHM,Rumah di perum Bumi Asri siap huni,"Dijual cepat rumah di perum bumi asri
LT/LB: 230 /190 m2
4 kamar tidur
1 kamar pembantu
3 kamar mandi
listrik 2200 W
lantai keramik
air pam
dalam komplek
rumah siap huni
sertipikat hak milik

Harga Rp. 700 Juta

Hub : Rama
Global Property Lampung
0721 788544
0812 72 888 157
0823 7960 7456",
9,12/2/2020,https://www.rumah123.com/properti/bandar-lampung/hos6105722/,950000000,Lampung,210,170,3,2,0,0,2,0,2200,SHM,@Rumah bagus Enak di lihat dan Lokasi bagus banget Raja baja Lampung,"Rumah murah Di bandar lampung raja basa bandar lampung

Spesifikasi
LT/LB. 210/170m2
KT/KM. 3/2
Shm ( tdk ada imb )
Harga. 950juta
Garasi. 3
Rm 1 Lantai

Fasilitas
Kolom ikan
Taman
Jln 2 mbl pas.
Dr jln besar k rm 100m2
Jln mbl bisa 2 mbl pas
Dekat islamic center
Unila

Menerima Titipan Property anda kami Pasarkan
sewa-beli-Jual
Yon
0818 0888 7212",
10,5/9/2020,https://www.rumah123.com/properti/bandar-lampung/hos7263565/,150000000,Lampung,84,36,2,1,0,0,1,0,1300,SHM,Rumah nyaman syarat gampang banget deket kota bandar lampung,"Launching Griya Amina Gunter Bandar Lampung.

Hunian eksklusif premium di Palapa 10 gunung terang Bandar Lampung.
Perumahan Griya Aminah Rumah bebas banjir aman nyaman strategis dan memiliki nilai investasi tinggi.

Rumah modern minimalis :

- Luas bangunan 45 m
- Luas tanah 72 m
- kamar tidur 2
- kamar mandi 1
- Ruang keluarga
- sudah ada pagar belakang
- sudah ada dapur dan carport
- Listrik 1300 watt.
- Sumur Bor

Lokasi strategis dekat ke:
- 5 menit ke Indomaret, Alfamart dan pasar
- 5 menit ke sarana pendidikan (SD, SMP, SMA, kampus besar UBL, UML, Teknokrat, Unila dan Darmajaya).
- 5 menit ke Puskesmas
- 5 menit ke pom bensin

Fasilitas lingkungan:
- kolam renang
- taman/RTH
- one gate system.
- mushola

Harga Normal 275 juta
Kredit mulai DP 25 juta.
Angsuran 2,5 juta selama 15 tahun
Cash 250jt

Ayo manfaatkan kesempatan terbatas ini karena tidak ada lagi lokasi premium dengan harga murah banget

Segera hubungi
Kang trian sigerproperty
0823-7253-3321
0853-7916-7996",
